name,ClaSP,FLOSS,Window-L$_2$,BinSeg-L$_2$,BOCD
Adiac,0.003078,0.004972,0.063447,0.307055,0.02178
ArrowHead,0.001992,0.002656,0.045153,0.49668,0.460159
Beef,0.013475,0.033333,0.148936,0.48227,0.110638
BeetleFly,0.0,0.016406,0.478516,0.490234,0.392578
BirdChicken,0.001562,0.399609,0.039062,0.496094,0.324219
Car,0.008476,0.016798,0.058715,0.277393,0.011096
CBF,0.006771,0.015625,0.078125,0.36875,0.210938
ChlorineConcentration,0.0,0.000128,0.153826,0.302525,0.249327
CinCECGTorso,0.00272,0.006625,0.229111,0.268726,0.266774
Coffee,0.003,0.006,0.245,0.495,0.307
Computers,0.014844,0.473333,0.085778,0.495111,0.3608
CricketX,0.001779,0.005579,0.031533,0.218548,0.020537
CricketY,0.00187,0.011386,0.053676,0.213403,0.075146
CricketZ,0.007821,0.010306,0.083732,0.20657,0.061925
DiatomSizeReduction,0.001547,0.00928,0.192962,0.386311,0.162413
DistalPhalanxOutlineAgeGroup,0.002797,0.033566,0.660839,0.206294,1.0
DistalPhalanxTW,0.010659,0.013178,0.143411,0.218992,0.136046
Earthquakes,0.03717,0.172069,0.015237,0.812112,0.796487
ECG200,0.009167,0.01625,0.145417,0.68375,0.045417
ECG5000,0.000488,0.002438,0.306192,0.374451,0.366163
ECGFiveDays,0.003836,0.015345,0.152174,0.152174,0.223785
ElectricDevices,0.004076,0.004921,0.200269,0.311264,0.193071
FaceAll,0.000527,0.006725,0.02699,0.138495,0.033206
FaceFour,0.002698,0.014087,0.141468,0.248611,0.1225
FacesUCR,0.001208,0.010772,0.077459,0.136357,0.016479
FiftyWords,0.001925,0.006993,0.074737,0.330703,0.263536
Fish,0.001745,0.008149,0.028925,0.15027,0.123024
GunPoint,0.003733,0.005867,0.104,0.517333,0.135467
Haptics,0.087593,0.17391,0.179022,0.202454,0.079584
InlineSkate,0.048226,0.022506,0.25306,0.430616,0.183986
InsectWingbeatSound,0.003385,0.019271,0.082031,0.242187,0.03724
ItalyPowerDemand,0.000622,0.012438,0.139303,0.490672,0.044154
LargeKitchenAppliances,0.01132,0.02027,0.10313,0.329658,0.174609
Lightning2,0.0067,0.190955,0.09464,0.329146,0.030988
Lightning7,0.016478,0.015446,0.085755,0.168374,0.078643
Mallat,0.000672,0.009409,0.050655,0.343162,0.094338
Meat,0.000595,0.002381,0.208334,0.328869,0.136012
MedicalImages,0.004446,0.004042,0.47979,0.696039,0.240097
MoteStrain,0.001786,0.039881,0.133929,0.491071,0.458929
NonInvasiveFetalECGThorax1,0.000564,0.010177,0.030709,0.145733,0.127101
NonInvasiveFetalECGThorax2,0.000366,0.007195,0.042792,0.117294,0.10574
OliveOil,0.002226,0.017814,0.096154,0.47807,0.20081
OSULeaf,0.001202,0.014423,0.086779,0.163462,0.087019
Plane,0.000706,0.003395,0.039418,0.175265,0.004674
ProximalPhalanxOutlineAgeGroup,0.03125,0.053125,0.20625,0.470625,0.4705
ProximalPhalanxTW,0.003083,0.008583,0.031667,0.075,0.015917
ShapesAll,0.002852,0.002774,0.028515,0.174414,0.090195
SonyAIBORobotSurface1,0.001429,0.013571,0.003571,0.296429,0.070714
SonyAIBORobotSurface2,0.006838,0.007407,0.207977,0.393162,0.111681
StarLightCurves,0.002345,0.007815,0.105189,0.141763,0.038606
SwedishLeaf,0.001685,0.008425,0.060279,0.208257,0.061657
Symbols,0.004235,0.027704,0.175401,0.225693,0.048703
SyntheticControl,0.001267,0.006733,0.109,0.195,0.031133
ToeSegmentation1,0.0,0.003249,0.33213,0.498195,0.189531
ToeSegmentation2,0.004861,0.005185,0.277706,0.489955,0.462411
Trace,0.004916,0.024578,0.114727,0.408966,0.136453
TwoLeadECG,0.002123,0.343949,0.235669,0.464968,0.339703
TwoPatterns,0.001833,0.003417,0.0795,0.240542,0.157583
UWaveGestureLibraryAll,0.000975,0.003428,0.089313,0.196802,0.032835
UWaveGestureLibraryX,0.001686,0.02138,0.115685,0.218062,0.090845
UWaveGestureLibraryY,0.004791,0.017122,0.058641,0.171487,0.062722
UWaveGestureLibraryZ,0.018542,0.010114,0.064851,0.200319,0.072569
Wafer,0.004212,0.012637,0.547599,0.084246,0.091828
WordSynonyms,0.001253,0.013778,0.270146,0.07808,0.08142
Worms,0.007686,0.020226,0.15898,0.330906,0.073624
Yoga,0.002692,0.004382,0.088894,0.542444,0.444723
